회사명,거래소코드,회계년도,자산총계,부채총계,자본총계,매출액,매출원가,매출총이익,판매비와 관리비,영업이익,당기순이익
(주)대유에이텍,2880,Dec-92,19218,14503,4715,24730,21487,3242,1611,1631,792
(주)대유에이텍,2880,Dec-93,20076,15329,4747,24769,22554,2215,1403,812,272
(주)대유에이텍,2880,Dec-94,21249,16695,4554,24474,22276,2197,1502,696,18
(주)대유에이텍,2880,Dec-95,24057,20880,3178,25266,23859,1407,1456,-50,-1376
(주)대유에이텍,2880,Dec-96,25104,24828,276,25938,24513,1425,1684,-260,-1734
(주)대유에이텍,2880,Dec-97,61775,28964,32811,30100,25742,4359,1618,2740,255
(주)대유에이텍,2880,Dec-98,52852,24851,28001,25411,23617,1793,1579,215,-3864
(주)대유에이텍,2880,Dec-99,45542,19549,25992,16984,13932,3052,1647,1405,-1973
(주)대유에이텍,2880,Dec-00,42680,32703,9977,15006,12510,2496,865,1631,-16015
(주)대유에이텍,2880,Dec-01,15039,11144,3895,12467,11356,1111,1035,76,-6082
(주)대유에이텍,2880,Dec-02,7883,7864,19,6524,8725,-2201,1990,-4191,-11340
(주)대유에이텍,2880,Dec-03,7331,3411,3920,3597,4441,-844,3023,-3866,-6446
(주)대유에이텍,2880,Dec-04,10969,4336,6633,10159,10000,160,942,-783,-2115
(주)대유에이텍,2880,Dec-05,32632,21148,11484,26306,25082,1224,1175,49,1733
(주)대유에이텍,2880,Dec-06,91619,68901,22718,94272,88598,5675,4225,1449,-329
(주)대유에이텍,2880,Dec-07,86951,62847,24104,128587,119631,8955,10616,-1661,-5971
(주)대유에이텍,2880,Dec-08,85009,47471,37538,137654,126320,11334,9301,2033,-113
(주)대유에이텍,2880,Dec-09,90380,52888,37493,93196,87455,5741,6446,-705,-3396
(주)대유에이텍,2880,Dec-10,178828,126627,52201,250722,225891,24831,13786,11046,6138
(주)대유에이텍,2880,Dec-11,246557,181792,64765,402877,372749,30128,16830,13298,5663
(주)대유에이텍,2880,Dec-12,277360,188893,88467,415219,383721,31498,17783,13715,3133
(주)대유에이텍,2880,Dec-13,336455,245904,90551,477929,447236,30693,20441,10252,5424
(주)대유에이텍,2880,Dec-14,377532,282518,95014,563652,532580,31072,24730,6342,1445
(주)대유에이텍,2880,Dec-15,326470,211613,114857,439532,400771,38760,26403,12357,2154
(주)대유에이텍,2880,Dec-16,349203,230653,118550,346860,307975,38885,25163,13722,6500
(주)대유에이텍,2880,Dec-17,359200,239089,120111,375357,337235,38122,26536,11586,4589
(주)대유에이텍,2880,Dec-18,370893,277068,93825,386822,353086,33736,26800,6935,-28287
(주)대유에이텍,2880,Dec-19,405334,296900,108434,375731,341109,34621,26700,7921,11912
(주)대유에이피,290120,Dec-18,81806,40488,41318,193956,174274,19682,9286,10396,8044
(주)대유에이피,290120,Dec-19,116059,70348,45711,155622,136550,19071,8971,10101,6993
(주)두올,16740,Dec-99,21342,13435,7908,19957,15678,4279,3663,617,333
(주)두올,16740,Dec-00,18772,8392,10380,27292,19926,7366,6067,1299,1046
(주)두올,16740,Dec-01,28525,16424,12101,27479,19583,7895,5798,2097,1974
(주)두올,16740,Dec-02,47185,31679,15506,27828,21752,6076,8106,-2031,-1570
(주)두올,16740,Dec-03,53555,36289,17266,72646,60506,12140,9191,2949,1760
(주)두올,16740,Dec-04,59686,41741,17945,84727,73778,10950,7855,3095,672
(주)두올,16740,Dec-05,72617,58154,14463,92892,86505,6387,8166,-1778,-3132
(주)두올,16740,Dec-06,77928,63574,14354,119768,106403,13364,9879,3485,190
(주)두올,16740,Dec-07,76555,74966,1590,138621,137682,938,11935,-10996,-13245
(주)두올,16740,Dec-08,81236,59754,21482,52585,45321,7264,8296,-1032,-7572
(주)두올,16740,Dec-09,75332,57573,17759,49483,40260,9223,7072,2151,-2632
(주)두올,16740,Dec-10,55551,49959,5592,50327,46266,4061,12373,-8312,-4866
(주)두올,16740,Dec-11,59550,49218,10332,47420,36626,10794,8608,2186,4599
(주)두올,16740,Dec-12,122612,94027,28585,90100,72586,17514,10461,7054,10905
(주)두올,16740,Dec-13,143729,102803,40926,170142,149483,20659,15024,5635,12189
(주)두올,16740,Dec-14,158821,87815,71006,176362,159178,17184,15703,1480,6549
(주)두올,16740,Dec-15,184920,96331,88588,197562,176239,21323,18770,2553,20682
(주)두올,16740,Dec-16,186362,64117,122245,172629,149149,23480,19012,4469,13295
(주)두올,16740,Dec-17,232489,80661,151827,184817,155728,29089,20339,8750,14073
(주)두올,16740,Dec-18,219834,77969,141864,209597,182112,27485,20042,7444,8880
(주)두올,16740,Dec-19,227825,78465,149360,204755,179170,25585,19612,5973,11257
(주)디아이씨,92200,Dec-02,68699,62644,6055,106458,89455,17003,6274,10729,7651
(주)디아이씨,92200,Dec-03,77927,49159,28767,118714,102205,16509,6964,9545,6974
(주)디아이씨,92200,Dec-04,89228,59789,29440,190662,166765,23897,10946,12952,8393
(주)디아이씨,92200,Dec-05,104743,69919,34824,209040,182603,26437,10362,16075,5791
(주)디아이씨,92200,Dec-06,111713,66117,45596,223320,198715,24605,11500,13105,9103
(주)디아이씨,92200,Dec-07,157282,60820,96462,231422,205886,25536,11956,13580,10372
(주)디아이씨,92200,Dec-08,198127,85899,112227,224747,206041,18706,13425,5281,4145
(주)디아이씨,92200,Dec-09,194919,97092,97827,183301,169494,13807,10175,3632,-3789
(주)디아이씨,92200,Dec-10,249183,141828,107356,254717,225945,28771,14377,14394,8479
(주)디아이씨,92200,Dec-11,397603,261220,136384,323533,285732,37801,19505,18295,9513
(주)디아이씨,92200,Dec-12,424232,284551,139681,332306,298423,33883,17649,16234,5436
(주)디아이씨,92200,Dec-13,431021,286480,144542,323946,289769,34177,18671,15506,3322
(주)디아이씨,92200,Dec-14,434517,296727,137791,317363,283094,34269,25268,9001,-3957
(주)디아이씨,92200,Dec-15,450148,303423,146725,328714,284295,44419,22676,21743,11450
(주)디아이씨,92200,Dec-16,494590,329973,164617,329572,287218,42354,21055,21298,658
(주)디아이씨,92200,Dec-17,538774,392268,146506,363623,321593,42030,14347,27683,-19499
(주)디아이씨,92200,Dec-18,542793,395734,147059,362352,324075,38277,19356,18921,2723
(주)디아이씨,92200,Dec-19,502681,386974,115707,380838,367780,13058,24754,-11696,-81762
(주)만도,204320,Dec-14,2695848,1876163,819684,1047182,936852,110330,97807,12523,36078
(주)만도,204320,Dec-15,2756021,1756297,999724,3094154,2728253,365901,303112,62789,45951
(주)만도,204320,Dec-16,2810429,1794971,1015458,3141619,2749461,392158,332277,59881,50391
(주)만도,204320,Dec-17,2709748,1825943,883804,3095560,2821634,273926,346910,-72984,-86037
(주)만도,204320,Dec-18,2714016,1807271,906745,3108352,2729392,378961,284786,94174,58025
(주)만도,204320,Dec-19,2806053,1852123,953931,3323374,2837548,485826,340903,144922,85990
(주)모베이스전자,12860,Dec-97,64263,52762,11500,90425,84288,6137,5313,825,251
(주)모베이스전자,12860,Dec-98,70597,49527,21070,70515,68682,1833,4907,-3074,-4360
(주)모베이스전자,12860,Dec-99,75334,49923,25411,98719,89989,8730,4880,3850,1952
(주)모베이스전자,12860,Dec-00,90774,62742,28032,117267,107591,9676,7724,1952,2574
(주)모베이스전자,12860,Dec-01,91202,60849,30354,117084,108082,9002,7449,1553,1019
(주)모베이스전자,12860,Dec-02,103064,71245,31819,156258,142202,14056,9635,4422,3547
(주)모베이스전자,12860,Dec-03,119664,83873,35791,184345,172116,12229,10066,2163,3796
(주)모베이스전자,12860,Dec-04,133872,94247,39625,213514,196716,16798,11596,5202,5123
(주)모베이스전자,12860,Dec-05,156786,111332,45454,246934,227689,19245,12505,6740,5532
(주)모베이스전자,12860,Dec-06,168119,121184,46935,264515,247822,16693,12713,3980,1656
(주)모베이스전자,12860,Dec-07,165728,109391,56337,277055,258077,18978,13803,5175,4281
(주)모베이스전자,12860,Dec-08,194783,118082,76701,262093,247471,14622,12502,2120,1831
(주)모베이스전자,12860,Dec-09,212718,135795,76923,236422,222190,14232,13081,1150,1629
(주)모베이스전자,12860,Dec-10,229623,149838,79785,316422,298406,18016,16745,1272,3417
(주)모베이스전자,12860,Dec-11,307864,206281,101583,404442,378253,26189,24966,1223,3463
(주)모베이스전자,12860,Dec-12,315140,227455,87685,458663,444518,14145,25117,-10972,-10716
(주)모베이스전자,12860,Dec-13,342132,252018,90114,505299,480592,24707,25945,-1238,3914
(주)모베이스전자,12860,Dec-14,351321,256359,94962,538060,509704,28356,27116,1241,5324
(주)모베이스전자,12860,Dec-15,420981,315115,105866,563841,533389,30452,28867,1585,11589
(주)모베이스전자,12860,Dec-16,511446,377161,134285,574276,540582,33694,28394,5300,13019
(주)모베이스전자,12860,Dec-17,469397,367134,102263,584946,560962,23984,30442,-6458,-29772
(주)모베이스전자,12860,Dec-18,521893,415055,106838,606412,568900,37511,33138,4373,-2390
(주)모베이스전자,12860,Dec-19,562808,421933,140874,616171,571744,44427,37494,6933,-8422
(주)모토닉,9680,Dec-86,5780,3805,1976,12861,10576,2285,828,1457,459
(주)모토닉,9680,Dec-87,7439,5133,2306,15556,13927,1629,1082,547,332
(주)모토닉,9680,Dec-88,11551,9120,2431,16091,13788,2304,1513,791,272
(주)모토닉,9680,Dec-89,16593,13910,2683,20729,17988,2741,1087,1655,231
(주)모토닉,9680,Dec-90,28424,19456,8968,33934,28748,5186,1741,3445,330
(주)모토닉,9680,Dec-91,34023,20783,13240,36963,33178,3785,1859,1926,749
(주)모토닉,9680,Dec-92,44068,30531,13537,41451,36998,4453,2149,2304,625
(주)모토닉,9680,Dec-93,47581,29310,18271,53986,48775,5211,2239,2971,1189
(주)모토닉,9680,Dec-94,52435,32280,20155,66734,59982,6753,3268,3484,2850
(주)모토닉,9680,Dec-95,60220,38491,21729,78000,70799,7201,3987,3214,2367
(주)모토닉,9680,Dec-96,78633,35520,43113,81045,73700,7345,4489,2856,2717
(주)모토닉,9680,Dec-97,89652,46268,43384,81560,73862,7698,5247,2451,3591
(주)모토닉,9680,Dec-98,73231,29772,43458,62081,57583,4498,4382,116,374
(주)모토닉,9680,Dec-99,76378,30777,45601,130164,113438,16726,12619,4106,5629
(주)모토닉,9680,Dec-00,97164,35178,61986,161085,141639,19446,12633,6813,7235
(주)모토닉,9680,Dec-01,91100,33109,57991,135835,114455,21380,13102,8279,6993
(주)모토닉,9680,Dec-02,127818,64887,62931,179355,151237,28118,20612,7506,9788
(주)모토닉,9680,Dec-03,144231,71740,72491,226817,197717,29100,21376,7724,9717
(주)모토닉,9680,Dec-04,174240,93040,81200,222938,192610,30328,24051,6278,9424
(주)모토닉,9680,Dec-05,207887,106035,101852,249732,217227,32505,24308,8197,16499
(주)모토닉,9680,Dec-06,229460,60847,168613,303141,261622,41519,15498,26021,34802
(주)모토닉,9680,Dec-07,257243,67427,189816,306138,268229,37909,18290,19618,24781
(주)모토닉,9680,Dec-08,278059,65172,212886,292872,258250,34622,17543,17079,24991
(주)모토닉,9680,Dec-09,314118,56166,257952,257063,222900,34163,14100,20063,41762
(주)모토닉,9680,Dec-10,354736,51888,302848,271583,237785,33798,13154,20645,40252
(주)모토닉,9680,Dec-11,374105,50212,323893,237739,211203,26536,11825,14711,25576
(주)모토닉,9680,Dec-12,388016,45063,342953,232983,202816,30167,10586,19581,24243
(주)모토닉,9680,Dec-13,395645,40611,355035,202015,179002,23013,9054,13959,17538
(주)모토닉,9680,Dec-14,421213,43412,377802,203374,179428,23947,16624,7322,12723
(주)모토닉,9680,Dec-15,424152,39705,384447,190846,169667,21178,15832,5347,11978
(주)모토닉,9680,Dec-16,429295,37425,391871,182110,167704,14406,13652,754,16651
(주)모토닉,9680,Dec-17,429710,32178,397532,201352,175574,25779,14540,11238,13730
(주)모토닉,9680,Dec-18,433308,36163,397146,187940,165064,22876,15289,7587,9925
(주)모토닉,9680,Dec-19,438252,32324,405928,202276,176665,25611,14435,11176,9607
(주)삼기오토모티브,122350,Jun-10,,,,,,,,,
(주)삼기오토모티브,122350,Dec-11,,,,,,,,,
(주)삼기오토모티브,122350,Dec-12,108572,56609,51963,138741,121613,17128,9246,7882,3309
(주)삼기오토모티브,122350,Dec-13,105609,49997,55611,139606,124720,14886,8653,6233,4325
(주)삼기오토모티브,122350,Dec-14,234306,145635,88672,233990,199776,34215,15449,18766,13443
(주)삼기오토모티브,122350,Dec-15,271954,167804,104150,277055,231236,45819,19831,25988,17551
(주)삼기오토모티브,122350,Dec-16,291452,173904,117548,309545,260420,49125,23041,26084,16713
(주)삼기오토모티브,122350,Dec-17,313905,186906,126999,292543,249998,42545,26267,16278,12839
(주)삼기오토모티브,122350,Dec-18,376758,228561,148196,278343,244870,33474,23206,10267,6320
(주)삼기오토모티브,122350,Dec-19,413977,259924,154053,291623,255937,35687,25996,9690,6390
(주)삼원강재,23000,Dec-99,80933,70714,10219,60311,46314,13997,4304,9693,1601
(주)삼원강재,23000,Dec-00,83220,69886,13334,67698,53885,13813,3775,10038,3114
(주)삼원강재,23000,Dec-01,81630,65284,16346,63145,50212,12934,3692,9242,3012
(주)삼원강재,23000,Dec-02,77828,57988,19840,70674,58766,11908,4016,7892,3494
(주)삼원강재,23000,Dec-03,72958,49684,23274,79139,67456,11684,5411,6273,3434
(주)삼원강재,23000,Dec-04,77091,48899,28192,105023,92448,12574,5743,6831,4918
(주)삼원강재,23000,Dec-05,86420,53080,33340,117364,103943,13420,5540,7880,5148
(주)삼원강재,23000,Dec-06,82788,45674,37115,130666,118363,12303,6859,5444,3775
(주)삼원강재,23000,Dec-07,91895,49406,42488,150438,136350,14088,8292,5796,5373
(주)삼원강재,23000,Dec-08,111724,56754,54970,213648,191873,21775,11828,9947,12482
(주)삼원강재,23000,Dec-09,126872,64071,62801,196001,172930,23072,11444,11628,9944
(주)삼원강재,23000,Dec-10,149441,74141,75300,283318,248036,35282,15083,20199,15861
(주)삼원강재,23000,Dec-11,217770,82100,135670,346997,304446,42551,16236,26314,20451
(주)삼원강재,23000,Dec-12,205818,55698,150120,349450,307232,42217,17627,24590,18623
(주)삼원강재,23000,Dec-13,203894,43152,160741,313409,283486,29924,11239,18684,14989
(주)삼원강재,23000,Dec-14,211169,41654,169515,282911,255869,27042,11106,15936,14502
(주)삼원강재,23000,Dec-15,223484,44347,179138,272321,240916,31405,12697,18708,15839
(주)삼원강재,23000,Dec-16,234265,45067,189198,268399,241389,27009,11074,15935,14206
(주)삼원강재,23000,Dec-17,245605,50652,194954,276173,253300,22873,10317,12556,10996
(주)삼원강재,23000,Dec-18,253757,49100,204658,286792,263182,23610,10465,13145,11932
(주)삼원강재,23000,Dec-19,249461,39515,209946,269337,248422,20916,10119,10797,10433
(주)서연이화,200880,Dec-14,702513,400820,301693,477553,457196,20357,21211,-855,13670
(주)서연이화,200880,Dec-15,777470,431724,345746,1060792,968528,92265,44564,47701,49918
